Категория;Оригинал;Перевод;Пояснение;Смотри также;Комментарий
Организации и группы;Cult of the Blood Red Moon;Культ Кроваво-красной Луны;Вампирский культ, стремящийся уничтожить Спектра и использующий тёмную магию и демонических сущностей.;;
Организации и группы;Cult of the Cold Flame;Культ Хладного Пламени;Культ основанный четырьмя героями-магами, чтобы удолетворить свои эгоистичные желания, но оказавшийся во власти злодеев.;;
Организации и группы;Cult of the Manhunters;Культ Охотников;Организация робов, маскирующиеся под живых существ, создающие агентов для ради скрытых целей Охотников.;;
Организации и группы;Cyclone Kids;Циклонные детки;Дуэт юных напарников Ма Ханкель.;;В биографии Максин Ханкель указано, что она выбрала псевдоним Циклон в честь юных помощников своей бабушки. Так что при переводе на русский язык название дуэта пришлось адаптировать в обратном порядке. [Прим. D.Crane]
Организации и группы;Czarnians;Зарнийцы;Раса с планеты Зарния, обладающая способностью к регенерации и уязвимая лишь для представителей своего вида.;Зарния;
Организации и группы;Daemonites;Демониты;Рептилоидная инопланетная раса с планеты Деймон, способная овладевать телами.;Деймон;
Организации и группы;Daily Planet;Дэйли Плэнет;Старейшая газета Метрополиса, основанная в 1775 году.;;
Организации и группы;Dark Knights;Тёмные Рыцари;Искажённые версии Бэтмена из Тёмной Мультивселенной, сражающиеся за выживание своих миров под началом Бэтмена, который смеётся.;;
Организации и группы;Darkstars;Корпус Тёмных Звёзд;Межгалактическая полицейская организация, созданная Контроллерами для защиты Вселенной.;Тёмная Звезда;
Организации и группы;Death Patrol;Патруль Смертников;Группа добровольцев-лётчиков из беглых заключённых, сражавшихся против нацистов во Второй мировой войне.;;
Организации и группы;Deep Six;Глубоководная шетёрка;Зловещие водные монстры с Апоколипса, слуги Дарксайда.;Слиг, Джаффар, Шалиго, Трок, Гоул, Паурон;
Организации и группы;Demon Knights;Рыцари-демоны;Отряд воинов под предводительством Мадам Занаду и Джейсона Блад.;;
Организации и группы;Demons;Демоны;Злобные сверхъестественные существа из Ада, включая падших ангелов и порождения тьмы.;;
Организации и группы;Demons Three;Демоническая Тройка;Три брата-демона, правившие Землёй миллиард лет назад.;Абнегазар, Рат, Гаст;
Организации и группы;Department of Extranormal Operations (D.E.O.);Департамент Экстраординарных Операций (ДЭО);Правительственное агентство США по контролю и противодействию угрозам металюдей.;;
Организации и группы;Department of Metahuman Affairs (D.M.A.);Департамент по делам металюдей (ДДМ);Государственное ведомство, созданное для контроля металюдей и предотвращения угроз.;;Слово affairs в подобных контекстах обычно адаптируется как «дел». Это подтверждается устоявшимися примерами: Департамент иностранных дел (Department of Foreign Affairs), Департамент внутренних дел (Department of Home Affairs), Департамент по делам ветеранов (Department of Veterans Affairs). [Прим. D.Crane]
Организации и группы;Dominators (Dominion);Доминаторы (Доминион);Инопланетная раса генетиков с иерархическим обществом, манипулирующая мета‑геном.;;
Организации и группы;Doom Patrol;Роковой Патруль;Команда металюдей-изгоев, защищающая общество, которое их отвергает.;;
Организации и группы;Durlans;Дурланцы;Инопланетная раса оборотней с планеты Дурла.;Дурла;
Организации и группы;Easy Company;«Лёгкая» Бригада;Легендарное пехотное подразделение армии США, воевавшее в Европе во Вторую мировую войну, которой всё давалось легко.;;Понятно, что дословно должна быть Бригада «Изи», но «Лёгкая» Бригада ложится настолько естественно: это ровная адаптация названия и одновременно отсылка к реальному виду войск. Не могу удержаться. [Прим. D.Crane]
Организации и группы;Elite;Элита;Команда металюдей-мстителей, оправдывающих жестокие методы ради достижения целей.;;
Организации и группы;Empire of Tears;Империя Слёз;Магическая империя, созданная выжившими после трагедии в секторе 666 ради мести Хранителям Вселенной.;;
Организации и группы;Endless;Вечные;Неблагополучная семья из семи братьев и сестёр, каждый из которых олицетворяет аспект Вселенной.;Смерть, Сокрушение, Сон, Страдание, Страсть, Судьба, Сумасшествие;
Организации и группы;Entity;Сущности;Воплощения, представляющие определённую эмоцию и связанные с конкретным Корпусом Фонарей.;Адара, Ион, Мясник (Сущность), Некрон, Офидий, Параллакс, Прозелит, Сущность (Жизнь), Умбракс, Хищник (Сущность);
Организации и группы;Erinyes;Эринии;В древнегреческой мифологии богини мести. В римской мифологии им соответствуют фурии.;;
Организации и группы;Esquecida (Amazons of the Amazon);Эскесида (Амазонки с реки Амазонка);Племя амазонок, отделившееся от амазонок с Райского Острова и поселившееся в лесах Амазонии.;Амазонки;
Организации и группы;Euphorians;Эйфорийцы;Господствующий вид планеты Эйфорикс.;Эйфорикс;
Организации и группы;Eurocorps;Еврокорпус;Международная команда супергероев, созданная бывшими участниками Мировых Защитников под эгидой Интерпола.;;
Организации и группы;Extreme Justice;Экстремальная Справедливость;Команда, созданная Натаниэлем Адамом из-за разногласий с Чудо‑женщиной и стремления к более активным действиям.;;
Организации и группы;Exxorians;Эксориане;Гуманоидная раса с планеты Эксор.;Эксор;
Организации и группы;Fairies;Феи;Волшебные существа, заключившие договор с Люцифером ради обители и ушедшие в потусторонний мир при упадке поклонения.;;
Организации и группы;Fatal Five;Смертоносная Пятёрка;Группа из пяти опаснейших галактических преступников XXX–XXXI века, главные противники Легиона Супергероев.;Изумрудная Императрица, Мано, Валидус, Тарок, Довод;
Организации и группы;Feitherans;Фейтеряне;Крылатые гуманоиды из скрытого города Фейтера в Гренландии, утратившие дар речи, но сохранившие интеллект.;Фейтера;
Организации и группы;Female Furies;Фурии Апоколипса;Элитная команда воительниц‑новобогов с Апоколипса, служащая Дарксайду.;;«Женщины-фурии» — тавтология, ведь мужчин-фурий никогда не было. При адаптации приходится убирать слово «Female», но тогда их нельзя отличить от обычных римских фурий (которые во Вселенной DC тоже встречаются), поэтому добавлено уточнение «Апоколипса». Но в целом оно не обязательно, и в речи персонажей Female Furies можно сокращать до «Фурий». [Прим. D.Crane]
Организации и группы;Ferris Aircraft;Феррис Эйркрафт;Авиационная компания, разрабатывающая передовые концепции и базирующаяся в Кост‑Сити, Калифорния.;;Судя по Википедии, существует странная традиция адаптировать Aircraft в названия авиастроительных компаний как «Эркрафт», а не «Эйркрафт». Не знаю, почему так, и намерен игнорировать этот факт. [Прим. D.Crane]
Организации и группы;Flying Graysons;Летающие Грейсоны;Семья цирковых акробатов, выступавшая в Цирке Хейли.;;
Организации и группы;Force Syndicate;Синдикат Силы;Одна из криминальных банд, участвовавших в беспорядках, приведших к Большому взрыву Дакота-Сити.;;
Организации и группы;Forever People;Люди Вечности;Группа Новых Богов, призванная помочь человечеству эволюционировать и обрести божественные качества.;Марк Мунрайдер, Прекрасная мечтательница, Большой Медведь, Серифан, Серафина Балдор, Вайкин Балдор;
Организации и группы;Freedom Fighters;Борцы за Свободу;Команда американских супергероев, сражающихся против тирании и нацистов.;;
Организации и группы;Genesisians;Генезийцы;Раса Новых Богов, обитающая на божественной планете Новый Генезис.;Новый Генезис;
Организации и группы;Ghost Patrol;Призрачный патруль;Трио лётчиков — Фред, Педро и Тощий, — ставших призраками после авиакатастрофы, сражавшиеся с немцами во время Второй мировой, а после с рядовыми преступниками.;;
Организации и группы;Gil'Dishpan;Гил’Дишпан;Склонная к завоеваниям древнейшая и могущественнейшая водная раса во Вселенной.;;
Организации и группы;Global Guardians;Мировые Защитники;Международная команда героев эпохи Холодной войны, часть которых позже вошла в Лигу Справедливости.;;
Организации и группы;Gordanians;Горданианцы;Межгалактические работорговцы с планеты Карна.;;
Организации и группы;Gotham City Police Department (GCPD);Департамент полиции Готэма (ДПГ);Муниципальная полиция города Готэм, обеспечивающая правопорядок в городе.;;
Организации и группы;Gotham Knights;Рыцари Готэма;Какая-то спортивная команда из Готэма либо собирательное имя местных супергероев.;;
Организации и группы;Great Ten (Great Twenty);Великая Десятка (Великая Двадцатка);Команда китайских супергероев, действующих под контролем государства.;;
Организации и группы;Green Lantern Corps;Корпус Зелёных Фонарей;Межгалактическая сила поддержания порядка, использующая кольца силы для создания энергетических конструкций.;Зелёный Фонарь;
Организации и группы;Green Martians;Зелёные марсиане;Инопланетная раса с Марса, почти полностью уничтоженная в холокосте, но сохранившая отдельных представителей.;;
Организации и группы;Guardians of the Universe;Хранители Вселенной;Бессмертные лидеры Корпуса Зелёных Фонарей.;;
Организации и группы;H.I.V.E.;УЛЕЙ;Зловещая организация, готовящая наёмников и убийц для тех, кто готов щедро заплатить.;;
Организации и группы;H'San Natall;Х’Сан Наталл;Инопланетная раса, порабощающая другие расы и создающая гибридов.;;
Организации и группы;Hero Hotline;Герои по Вызову;Коммерческое предприятие по предоставлению героев по вызову.;;
Организации и группы;Homo Magus (Homo Magi);Homo Magus (Человек колдующий);Подвид людей, от рождения обладающий способностью управлять магией.;;
Организации и группы;Hunter's Hellcats (Lt. Hunter's Hellcats);«Черти кошачьи» лейтенанта Хантера;Отряд спецназа Второй мировой войны под командованием лейтенанта Бена Хантера, состоящий из осуждённых солдат.;;
Организации и группы;Hykraians;Гикрианцы;Водный народ с телепатическими и телекинетическими способностями с планеты Гикриус.;Гикриус;
Организации и группы;Hyperclan;Гиперклан;Группа белых марсиан, замаскировавшихся под новых героев Земли, чтобы осуществить вторжение.;;
Организации и группы;Idylists;Идиллисты;Подгруппа атлантийцев с фиолетовыми глазами, рождённые с древними знаниями.;Атлантийцы;Название народа явно отсылает к английскому idylist, альтернативному написанию слова idyllist, что переводится как «автор идиллий». Идиллии — это вид коротких стихов в Древней Греции. Чтобы сохранить эту отсылку в русском языке, лучше писать это слово с двумя «л». [Прим. D.Crane]
Организации и группы;Indigo Tribe (Indigo Lantern Corps);Племя Индиго (Корпус Индиго Фонарей);Корпус Фонарей, черпающий силу из сострадания, перевоспитывающий социопатов во благо Вселенной.;;
Организации и группы;Infinity, Inc.;Корпорация «Бесконечность»;Команда супергероев, состоящая преимущественно из детей членов Общества Справедливости Америки, которым отказали в приёме.;;
Организации и группы;Injustice League;Лига Несправедливости;Команда суперзлодеев, состоящая из антагонистов членов Лиги Справедливости и противостоящая им.;;
Организации и группы;Injustice Society of the World (Injustice Unlimited);Международное Общество Несправедливости (Несправедливость Без границ);Объединение злодеев, возникшее как ответ на создание Общества Справедливости Америки, неоднократно возрождавшееся с новым составом.;;
Организации и группы;Intercorps;Интеркорпус;Международная команда супергероев из бывших участников Мировых Защитников.;;
Организации и группы;International Club of Heroes (Batmen of All Nations);Международный Клуб Героев (Бэтлюди всех наций);Международная конфедерация супергероев, вдохновлённых Бэтменом, предшественница Корпорации «Бэтмен».;;
Организации и группы;JLAxis (Gerechtigkeitliga);ЛСОсь (Герехтгайтслига);Альтернативная версия Лиги Справедливости, существующая в мире, где Германия победила во Второй мировой войне.;;
Организации и группы;Justice Alliance;Альянс Справедливости;Временная команда супергероев, созданная для замены распавшегося Общества Справедливости.;;
Организации и группы;Justice Guild (JG);Гильдия Справедливости (ГС);Альтернатива Лиги Справедливости с Земли-11.;;
Организации и группы;Justice League (JL, Justice League Unlimited);Лиги Справедливости (ЛС, Лиги Справедливости Без границ);Элитная команда супергероев Вселенной DC, защищающая Землю от любых угроз.;;
Организации и группы;Justice League Antarctica;Антарктическая Лига Справедливости;Команда несостоятельных злодеев, которых ошибочно сочли героями и отправили в Антарктику.;;
Организации и группы;Justice League Dark (JLD);Тёмная Лига Справедливости (ТЛС);Подразделение Лиги справедливости для борьбы с мистическими и сверхъестественными угрозами.;;
Организации и группы;Justice League Detroit (Detroit League);Детройтская Лига Справедливости (Лига Детройта);Обновлённая команда Лиги Справедливости, собранная Артуром Карри из новичков и ветеранов.;;
Организации и группы;Justice League Elite;Элитная Лига Справедливости;Тайная команда Лиги Справедливости, созданная для работы в тени, но всё ещё с запретом на убийства.;;
Организации и группы;Justice League Europe (JLE);Европейская Лига Справедливости (ЕЛС);Отделение Лиги Справедливости, базирующееся в Париже и действующее на территории Европы.;;
Организации и группы;Justice League International (JLI);Международная Лига Справедливости (МЛС);Версия Лиги Cправедливости под эгидой ООН, отличающаяся менее серьёзным подходом к супергеройству.;;
Организации и группы;Justice League of America (Justice League America, JLA);Лига Справедливости Америки (Американская Лига Справедливости, ЛСА);Американская команда сильнейших супергероев Земли, борющаяся со злом и защищающая мир от угроз любого происхождения.;;
Организации и группы;Justice League of China (JLC);Лига Справедливости Китая (ЛСК);Отряд Лиги Cправедливости, защищающий Китай от всевозможных угроз.;;
Организации и группы;Justice League United;Объединённая Лига Справедливости;Временное подразделение Лиги Справедливости Америки, поддержанное АРГОСом.;;
Организации и группы;Justice Legion (Justice Legion Alpha, Justice Legion A);Легион Справедливости (Лига Справедливости Альфа, Лига Справедливости А);Супергеройская команда будущего, защищающая Вселенную в 853-м веке.;;
Организации и группы;Justice Society Dark (JSD);Тёмное Общество Справедливости (ТОС);Тайная команда супергероев 1940-х годов, связанная с Обществом Cправедливости Америки.;;
Организации и группы;Justice Society of America (JSA);Общество Справедливости Америки (ОСА);Первая команда супергероев Вселенной DC, сражавшаяся во время Второй мировой войны.;;
Организации и группы;Justifiers;Уравнители;Воины Апоколипса, наделённые силой Уравнения Антижизни и используемые в качестве военной силы.;;
Организации и группы;Kherubim (Kherans);Керубимы (Херувимы, Керане);Гуманоидная раса с планеты Кера, ведущая многовековую войну с демонитами.;Кера;По авторской задумке корректно употреблять «керубимы» (иудейское прочтение греческого «херувимы»). Однако в озвучке мультика «Дикие коты, или Команда отчаянных трапперов» 1994 года использовали форму «херувимы», и она прижилась. Оба варианта являются синонимами, так что замена допустима, хотя и нарушает внутреннюю логику. [Прим. D.Crane]
Организации и группы;Khunds;Кхунды;Агрессивная раса с планеты Кхундия, склонная к смертельным поединкам из‑за малейшей обиды.;Кхундия;
Организации и группы;Knights Templar;Тамплиеры;Католический военный орден, основанный в Иерусалиме, один из самых богатых и влиятельных в мире.;;
Организации и группы;Kobra Cult;Культ Кобры;Опасная секта, поклоняющаяся змеиному богу Кали-юге, использующая змеиную символику и генетические усовершенствования.;;
Организации и группы;Kryptonians;Криптонцы;Жители планеты Криптон, чьи способности и силы зависят от излучения ближайшей к ним звезды.;Криптон;
Организации и группы;League of Ancients;Лига Древних;Древняя группировка металюдей под властью Гамемны, замыслившей покорить мир силой Атлантиды.;;
Организации и группы;League of Assassins;Лига Убийц;Международная организация наёмных убийц.;;
Организации и группы;League of Shadows;Лига Теней;Подразделение Лиги Убийц, тайная организация наёмных убийц под предводительством Сандрой Ву-сан.;;
Организации и группы;Legion Academy;Академии Легиона;Учебное заведение будущего для подготовки кандидатов в ряды Легиона Супергероев.;;
Организации и группы;Legion of Doom;Легион Погибели;Команда суперзлодеев, противостоящая героям DC.;;
Организации и группы;Legion of Super-Heroes;Легион Супергероев;Межгалактическая команда супергероев-подростков XXX века.;;
Организации и группы;Legion of Super-Villains;Легион Суперзлодеев;Межгалактическая команда суперзлодее XXX века.;;
Организации и группы;Leviathan;Левиафан;Тайная антикапиталистическая организация, стремящаяся разрушить общество и установить новый мировой порядок.;;
Организации и группы;LexCorp (LexCorp Incorporated);ЛексКорп (ЛексКорп Инкорпорейтед);Американский бизнес-конгломерат, основанный Лексом Лютором со штаб-квартирой в Метрополисе.;Лекс Лютор;
Организации и группы;Licensed Extra-Governmental Interstellar Operatives Network (L.E.G.I.O.N.);Лицензированная Единая Галактическая Инспекция Оперативного Надзора (ЛЕГИОН);Межгалактическая полицейская организация под руководством Брейниак 2, нанятая разными планетами.;;
Организации и группы;Lords of Chaos;Лорды Хаоса;Высшие существа с магической силой, символизирующие хаос.;;
Организации и группы;Lords of Order;Лорды Порядка;Группа могущественных магических существ с почти неограниченными способностями.;;
Организации и группы;Losers;Лузеры;Элитный боевой отряд Второй мировой, прославившийся вечным невезением и умением его преодолевать.;;
Организации и группы;Maltusians;Мальтусиане;Коренные жители планеты Мальтус.;Мальтус;
Организации и группы;Manhunters;Охотники;Искусственные стражи Вселенной, ставшие одержимыми самой охотой за преступниками, а не поиском справедливости.;;В описании роботов сказано, что их название и некоторые черты позаимствованы у Марсианских Охотников (Martian Manhunters), поэтому логично, что их следует просто назвать «Охотниками». [Прим. D.Crane]
Организации и группы;Metal Men;Металлические Люди;Созданная Доком Магнусом команда роботов-супергероев, каждый из которых сделан из определённого металла.;Золото, Ртуть, Свинец, Олово, Железо, Платина, Медь, Безымянь, Сплав;
Организации и группы;Millennium Giants;Гиганты Тысячелетия;Гигантские существа, очищавшие Землю и восстанавливавшие равновесие, следуя линиям лей.;;
Организации и группы;Minutemen;Ополченцев;Команда линчевателей Нью‑Йорка с разными способностями, собранная тактическим гением Капитаном Метрополисом в 1938 году.;;
Организации и группы;Monitors;Мониторы;Раса, чья миссия — оберегать Мультивселенную.;;Фактически их корректнее называть «Наблюдателями», на что указывает совокупность контекста и источников. Однако транслитерационная адаптация «Монитор» оказалась настолько устойчивой, что можно найти лишь единичные комиксы и ни одного медиапроекта по мотивам, в которых использовался бы иной вариант перевода. Так что это становится устоявшейся ошибкой. [Прим. D.Crane]
Организации и группы;Naltorians;Налторианци;Жители планеты Налтор, обладающие даром предвидения и сверхъестественными способностями.;Налтор;
Организации и группы;National Security Agency (NSA);Агентство национальной безопасности (АНБ);Американское разведывательное ведомство, собирающее секретную информацию для защиты страны от внешних и внутренних угроз.;;
Организации и группы;New Gods;Новые Боги;Божественные существа Четвёртого мира, эволюционировавшие благодаря близости к Источнику и достигшие генетического совершенства.;;
Организации и группы;New Guardians;Новые Хранители;Команда супергероев, избранных Хранителями Вселенной для получения сверхспособностей.;Бетти Кломен, Грегорио де ла Вега, Сян По, Селия Уиндвард, Такэо Яката, Джейсон Вудроу, Лила Майклс;
Организации и группы;Newsboy Legion;Легион Газетчиков;Группа сирот‑продавцов газет, участвовавших в приключениях с супергероем Стражем.;;
Организации и группы;Oans;Оанцы;Предположительно, первая разумная раса во Вселенной.;Оа;
Организации и группы;Okaarans;Окаарцы;Жители Окаары, некогда мирный народ, подвергшийся нападению псионов и их экспериментам.;Окаара;
Организации и группы;Old Gods;Старые Боги;Древняя раса божественных существ, чьё уничтожение привело к появлению богов Земли и возникновению Четвёртого мира.;;
Организации и группы;Omega Men;Омега-люди;Команда инопланетных супергероев, борющихся против тирании Цитадели в системе Вега.;;
Организации и группы;Orange Lantern Corps;Корпус Оранжевых Фонарей;Корпус Фонарей, использующий силу жадности и управляемый Ларфлизом.;Оранжевый Фонарь;
Организации и группы;Order of St. Dumas;Орден Святого Дюма;Католический военный орден, отделившийся от тамплиеров во время Крестовых походов и создавший линию суперлюдей-убийц Азраилов.;;
Организации и группы;Others;Другие;Небольшая группа хранителей древних атлантических артефактов, возглавляемая Акваменом.;;
Организации и группы;Outsiders;Аутсайдеры;Команда супергероев, созданная Бэтменом для выполнения миссий, недоступных Лиге Справедливости по политическим причинам.;;
Организации и группы;Parademons;Парадемоны;Генетически модифицированные воины из лабораторий Апоколипса, служащие верной армией Дарксайда.;;
Организации и группы;Paris Island Bloods;Бладс Пэрис-Айланда;Одна из криминальных банд, участвовавших в беспорядках, приведших к Большому взрыву Дакота-Сити.;;Отсылка к Bloods — реально существующему альянсу афроамериканских уличных группировок Южного Централа (Комптон, Инглвуд) и пригородов Лос-Анджелеса, действующему с 1972 года. [Прим. D.Crane]
Организации и группы;Parliament of Trees;Парламент Деревьев;Сообщество бывших элементалей, защищавших растительность.;Зелень;
Организации и группы;Pentacle;Пентакль;Группа ведьм и колдунов, противостоявшая Теневому Союзу.;;
Организации и группы;Primitives;Примитивы;Раса Новых Богов, избравшая жизнь в диких лесах Нового Генезиса вдали от Супергорода.;;
Организации и группы;Project Cadmus (Cadmus Labs, Cadmus Industries, Cadmus Tech);Проект «Кадмус» (Лаборатория «Кадмус», Кадмус Индастриз, Кадмус Тек);Научный исследовательский центр неподалёку от Метрополиса, занимающийся экспериментами над пришельцами и созданием клонов героев и злодеев.;;
Организации и группы;Psions;Псионы;Инородная раса из системы Вега, известная генетическими экспериментами.;;
Организации и группы;Queen Industries;Куин Индастриз;Компания Оливера Куина, унаследованная после гибели родителей, — источник средств для борьбы с преступностью и благотворительности.;;
Организации и группы;Raccoon Kids;Енотятки;Близнецы Руди и Ролло, известные под общим прозвищем.;;
Организации и группы;Radio Squad;Радио-отряд;Полицейский дуэт с рациями в патрульной машине, первыми опробовавшие новую технологию связи в Нью-Йорке в 1930-х.;Сэнди Кин, Ларри Трент;
Организации и группы;Rannians;Раннийцы;Жители планеты Ранн.;Ранн;
Организации и группы;Ravers;Рейверы;Межгалактическая группа юных супергероев, возглавляемая Коннером Кентом во время рейва на Горизонте событий.;;
Организации и группы;Reach;Рич;Инопланетная раса завоевателей, создавшая скарабеев для порабощения планет и внедрения агентов.;;
Организации и группы;Red Hood Gang;Банда Красных Колпаков;Преступная организация Готэма, участники которой носят красные маски.;;
Организации и группы;Red Lantern Corps;Корпус Красных Фонарей;Корпус Фонарей, использующий силу ярости и возглавляемый Атроцитусом.;Красный Фонарь;
Организации и группы;Red, White and Blue;Красный, Белый, Синий;Трое военных — морпех, солдат и моряк, — которые во Второй мировой досаждали странам Оси под началом агента Дорис Уэст.;;
Организации и группы;Revolutionaries;Революционеры;Международная команда sjw-антигероев.;;
Организации и группы;Rocket Red Brigade;Бригада Красных Ракет;Советская и российская военная элита в бронированных костюмах, защищающая страну от металюдей.;;Несмотря на то что DC Comics несколько раз переводили название бригады на русский как «Рокетно-красная бригада», было принято решение подобрать более логичный вариант с точки зрения русского языка. [Прим. D.Crane]
Организации и группы;Rogues;Негодяи;Команда суперзлодеев-противников Флэша, действующая по кодексу чести под руководством Леонарда Снарта.;;
Организации и группы;Royal Flush Gang;Банда Роял-флэш;Команда суперзлодеев в образах игральных карт — Туза, Десятки, Валета, Дамы и Короля.;;
Организации и группы;S.T.A.R. Labs (The Scientific and Technological Advanced Research Labs);Лаборатория СТАР (Лаборатория Современных Технологических и Аналитических Разработок);Исследовательская организация с лабораториями по всей территории США, занимающаяся передовыми научными разработками.;;
Организации и группы;Science Police;Научная полиция;Высокотехнологичная полиция будущего, охраняющая порядок на всём восточном побережье Северной Америки в 30‑м веке.;;
Организации и группы;Secret Six;Тайная Шестёрка;Команда супергероев или суперзлодеев, собранная таинственным лидером Пересмешником для выполнения особых миссий.;;
Организации и группы;Secret Society of Super-Villains (The Society);Тайное Общество Суперзлодеев (Общество);Организация могущественных злодеев, созданная для захвата мира и неоднократно противостоявшая Лиге Справедливости и другим героям.;;
Организации и группы;Section Eight;Восьмой отряд;Команда, собранная супергероем‑алкоголиком Шесть банок, пережившая гибель большинства участников и пополнившаяся новыми бойцами.;;
Организации и группы;Seven Soldiers of Victory (Law's Legionnaries);Семь Солдат Победы (Легионеры Закона);Команда супергероев времён Второй мировой войны, входившая в состав Звёздного Эскадрона.;;
Организации и группы;Shadowpact;Теневой Союз;Команда сверхъестественных героев, защищающих мир от мистических угроз.;;
Организации и группы;Sheeda;Шиида;Будущая раса потомков человечества, похожая на пауков и скорпионов, владеющая животной силой и совершающая набеги в прошлое Земли.;;
Организации и группы;Sinestro Corps (Yellow Lantern Corps);Корпус Синестро (Корпус Жёлтых Фонарей);Корпус Фонарей, использующий силу страха и возглавляемый Синестро.;Жёлтый Фонарь, Синестро;
