Категория;Оригинал;Перевод;Пояснение;Смотри также;Комментарий
Псевдонимы;Aquawoman;Аквавумен;Женский аналог Аквамена, обладающая схожими с ним способностями.;Ариэль Карри, Энди Карри;
Псевдонимы;Arak (Arak, Son of Thunder);Арак (Арак, Сын Грома);Псевдоним нескольких индейцев из племени квантаука.;Арак Краснорукий, Арак Ветроход;
Псевдонимы;Architect;Архитектор;Злодей, замысливший отомстить потомкам основателей Готэма за судьбу предка и облачённый в стимпанк‑броню.;Закари Гейт;
Псевдонимы;Argent;Серебро;Супергероиня, владеющая серебристой плазмой для создания щитов и оружия.;Тони Монетти;
Псевдонимы;Argh!yle;Аргх!айл;Обездоленный пришелец, оживлённый энергией космического паука, скрывающий шрамы под маской и ворующий носки из прачечных.;;
Псевдонимы;Argus;Аргус;Супергерой, растворяющийся в тени и видящий весь спектр света.;Ник Келли;
Псевдонимы;Arkham Knight;Рыцарь Аркхема;Злодейка, мастерски владеющая оружием и боевыми искусствами, управляющая культом заключённых Лечебницы Аркхем.;Астрид Аркхем;
Псевдонимы;Arrowette (Miss Arrowette);Стрелка;Лучница олимпийского уровня, владеющая акробатикой и продвинутым рукопашным боем.;Бонни Кинг-Джонс, Сисси Кинг-Джонс;
Псевдонимы;Arsenal;Арсенал;Опытный стрелок и супергерой, бывший протеже Зелёной Стрелы, ставший независимым защитником справедливости.;Рой Харпер;
Псевдонимы;Atlas;Атлант;Могучий гладиатор и освободитель, обретший сверхъестественную силу через древний кристалл и ставший злодеем.;;
Псевдонимы;Atom;Атом;Супергерой, обладающий способностью уменьшаться в размерах.;Ал Пратт, Рэй Палмер, Адам Крэй, Райан Чой;
Псевдонимы;Atom Smasher;Атом-крушитель;Супергерой, обладающий способностью увеличиваться в размерах и невероятной силой.;Ал Ротштейн;Адаптация «Атом-крушитель» была выбрана потому, что слово «Атом» в псевдониме персонажа — это, прежде всего, отсылка к Алу Пратту, герою под псевдонимом Атом. Псевдоним не отражает суть способностей: персонаж не «атомный» и не «ядерный». Его идентичность строится на наследовании Атома, а «Крушитель» — уже собственная часть имени. По сути, псевдоним даёт понять, что есть классический «Атом», а есть его более радикальная версия — «Атом-крушитель». [Прим. D.Crane]
Псевдонимы;Atomic Skull;Ядерный Череп;Преступник с радиоактивными способностями, сверхчеловеческой силой и гениальным интеллектом, способный возрождаться после смерти.;Альберт Майклс, Джозеф Мартин;По сути, «атомный» и «ядерный» — разные слова, которые друг друга не заменяют: «атомный» касается атомов в целом, а «ядерный» — только их ядер, что логично. Поэтому в большинстве случаев правильнее оставлять «атомный». Но когда речь о радиации, то дело касается именно распада ядер, то есть ядерных процессов. Значит, учитывая способности персонажа, ему больше подходит «Ядерный». [Прим. D.Crane]
Псевдонимы;August General in Iron;Величественный Железный Генерал;Супергерой с нечеловеческой силой и прочностью, мастер боя и военного искусства.;Фан Чифу;Здесь «August» явно выступает как прилагательное, иначе имя стояло бы после звания «генерал». [Прим. D.Crane]
Псевдонимы;Azar;Азар;Духовная наставница народа Азарата, веками ведшая людей к миру.;;
